"time-step";"termopar-temperatura";"calorimetro-temperatura-vol-med";"flow-time"
10;300.0000000169468;300.0000001014021;0.0015
20;300.0000000499853;300.0000004992302;0.003
30;300.0000002697971;300.0000012983022;0.0045
40;300.0000010531415;300.0000024752674;0.005999999999999999
50;300.000003110489;300.0000050084402;0.007499999999999999
60;300.0000069198381;300.0000093162917;0.008999999999999999
70;300.0000153523369;300.0000180767318;0.0105
80;300.0000326865387;300.0000340321939;0.012
90;300.0000646268683;300.0000609299311;0.0135
100;300.0001163497546;300.0001011702333;0.015
110;300.0001892696055;300.0001555756841;0.0165
120;300.0002869791974;300.000232674445;0.018
130;300.0004307220848;300.0003494614524;0.0195
140;300.0006419104482;300.0005151133;0.021
150;300.0009345484285;300.0007391197958;0.0225
160;300.0013222131083;300.00103109607;0.024
170;300.0018169325467;300.0014154496227;0.02549999999999999
180;300.0025343118975;300.0020340455368;0.027
190;300.0037257712253;300.0030250823892;0.0285
200;300.0055662083194;300.0044601136055;0.03
210;300.0081257849768;300.0063654068526;0.03149999999999999
220;300.0113667880047;300.0087129761636;0.03299999999999999
230;300.0151736218775;300.0114478065287;0.0345
240;300.0194108542992;300.0145114877906;0.036
250;300.0239608948963;300.0178520020034;0.0375
260;300.0287373792741;300.021425288717;0.03899999999999999
270;300.0336760121782;300.0251893717359;0.04049999999999999
280;300.0387290236087;300.0291181375925;0.042
290;300.0439093010223;300.0332477086259;0.0435
300;300.0493008614321;300.0376802828221;0.045
310;300.0549986004328;300.0428080660137;0.0465
320;300.0612564951256;300.0506167804912;0.048
330;300.0693591492644;300.070807127613;0.0495
340;300.0853895587605;300.1354787425657;0.051
350;300.1280809679723;300.2906723968109;0.0525
360;300.231673655288;300.6070943209693;0.054
370;300.4490063904275;301.1498652161048;0.05549999999999999
380;300.839797976574;301.9328785722428;0.057
390;301.4444436449335;302.8947382295328;0.0585
400;302.2589086139612;303.9303678464104;0.06
410;303.2318805825318;304.946783471145;0.0615
420;304.2880368600007;305.8943207651759;0.063
430;305.3577067811543;306.7607137492524;0.0645
440;306.3934365980906;307.5526734216427;0.066
450;307.3713659503803;308.2832985542163;0.0675
460;308.2851203194066;308.9665298628719;0.06899999999999999
470;309.138554608253;309.6144710375685;0.07049999999999999
480;309.940101543524;310.2372125077225;0.07199999999999999
490;310.6996471453855;310.8437511413613;0.0735
500;311.4272936846132;311.443223363084;0.075
510;312.1333734028776;312.0478731937859;0.0765
520;312.8298554264276;312.6772239808541;0.078
530;313.5333302012332;313.368574381428;0.0795
540;314.272311804103;314.2012638748641;0.081
550;315.1023770126923;315.2975095904524;0.08249999999999999
560;316.1107968522862;316.7084111810768;0.08399999999999999
570;317.3691665430536;318.3076040995152;0.08549999999999999
580;318.8646804018535;319.9063008277213;0.08699999999999999
590;320.5026977407782;321.3905032245324;0.0885
600;322.1690378748387;322.7313557615113;0.09
